Name;Order;Runs;Balls;4s;6s;SR;minutes at crease;Players Team;Match;Result;Team1;;Team1 Innings;Wickets1;Team2;Team2 Innings;Wickets2;
ML Hayden;2;81;46;12;2;176.08;102;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
MEK Hussey;3;5;9;1;0;55.55;7;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
SK Raina;4;53;37;3;3;143.24;54;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
MS Dhoni (c) æ;5;30;16;4;1;187.5;31;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
JDP Oram;6;5;2;1;0;250;9;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
S Badrinath;7;2;1;0;0;200;2;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
L Ronchi æ;1;2;3;0;0;66.66;5;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
ST Jayasuriya;2;20;11;4;0;181.81;18;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
RV Uthappa;3;43;36;6;1;119.44;38;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
SM Pollock;4;17;15;0;1;113.33;36;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
DJ Bravo;5;24;16;2;1;150;26;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
AM Nayar;6;45;20;6;1;225;53;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
MA Khote;7;9;5;0;1;180;6;Mumbai Indians;8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
VVS Laxman (c);2;16;16;3;0;100;none recorded;Deccan Chargers Innings (20 overs maximum);9th match (N), Indian Premier League at Hyderabad, Apr 24 2008;Royals won by 3 wickets (with 1 ball remaining);Deccan Chargers;;214;5;Rajasthan Royals;217;7¾;19,5/20 ov)
Shahid Afridi;3;10;4;1;1;250;none recorded;Deccan Chargers Innings (20 overs maximum);9th match (N), Indian Premier League at Hyderabad, Apr 24 2008;Royals won by 3 wickets (with 1 ball remaining);Deccan Chargers;;214;5;Rajasthan Royals;217;7¾;19,5/20 ov)
A Symonds;4;117;53;11;7;220.75;none recorded;Deccan Chargers Innings (20 overs maximum);9th match (N), Indian Premier League at Hyderabad, Apr 24 2008;Royals won by 3 wickets (with 1 ball remaining);Deccan Chargers;;214;5;Rajasthan Royals;217;7¾;19,5/20 ov)
